submission_id,RT,age,assignment_id,comments,dots_number,education,endTime,experiment_id,gender,hit_id,languages,picture,rating_slider,startDate,startTime,timeSpent,trial_number,trial_type,worker_id
14,4877,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,389,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/389red_dots_a.png,387,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,1,practice,A13PXTFOXDCKBF
14,4782,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,160,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/160red_dots_a.png,233,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,2,practice,A13PXTFOXDCKBF
14,3621,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,169,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/169red_dots_a.png,264,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,1,main,A13PXTFOXDCKBF
14,5222,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,19,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/19red_dots_c.png,34,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,2,main,A13PXTFOXDCKBF
14,3694,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,207,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/207red_dots_d.png,61,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,3,main,A13PXTFOXDCKBF
14,3111,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,368,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/368red_dots_h.png,343,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,4,main,A13PXTFOXDCKBF
14,3102,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,110,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/110red_dots_i.png,111,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,5,main,A13PXTFOXDCKBF
14,2519,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,72,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/72red_dots_j.png,72,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,6,main,A13PXTFOXDCKBF
14,3679,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,322,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/322red_dots_c.png,373,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,7,main,A13PXTFOXDCKBF
14,2623,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,196,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/196red_dots_d.png,243,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,8,main,A13PXTFOXDCKBF
14,6584,33,3H0W84IWBLATUU7ZCKU18Q03UPOER1,,2,graduated_college,1535480581379,4,male,386T3MLZLN3LYFFFF2KK8079FOS082,English,images/2red_dots_c.png,7,Tue Aug 28 2018 11:18:53 GMT-0700 (Pacific Daylight Time),1535480333369,4.1335,9,main,A13PXTFOXDCKBF
